Player,Team,Img,Birth date,Nationality,Height,Position,opta_id,sc_id,sics_id
Wojciech Szczesny,Juventus,https://img.a.transfermarkt.technology/portrait/header/44058-1595847517.jpg?lm=1,"Apr 18, 1990",Poland,"1,96 m",Goalkeeper,59936,10903,7968
Mattia Perin,Juventus,https://img.a.transfermarkt.technology/portrait/header/110923-1607528390.jpg?lm=1,"Nov 10, 1992",Italy,"1,88 m",Goalkeeper,87995,7280,6508
Carlo Pinsoglio,Juventus,https://img.a.transfermarkt.technology/portrait/header/75411-1663577377.jpg?lm=1,"Mar 16, 1990",Italy,"1,94 m",Goalkeeper,59338,12767,5770
Ionut Radu,Inter,https://img.a.transfermarkt.technology/portrait/header/303657-1661515008.jpg?lm=1,"May 28, 1997",Romania,"1,88 m",Goalkeeper,215531,14164,11017
Samir Handanovic,Inter,https://img.a.transfermarkt.technology/portrait/header/28021-1686929975.jpg?lm=1,"Jul 14, 1984",Slovenia,"1,93 m",Goalkeeper,18383,9494,6083
Mike Maignan,Milan,https://img.a.transfermarkt.technology/portrait/header/182906-1681459155.jpg?lm=1,"Jul 3, 1995",France,"1,91 m",Goalkeeper,129487,7604,21438
Ciprian Tatarusanu,Milan,https://img.a.transfermarkt.technology/portrait/header/55282-1663574299.jpg?lm=1,"Feb 9, 1986",Romania,"1,98 m",Goalkeeper,44898,1919,6028
Alex Meret,Napoli,https://img.a.transfermarkt.technology/portrait/header/240414-1595847422.jpg?lm=1,"Mar 22, 1997",Italy,"1,90 m",Goalkeeper,171366,13445,6336
David Ospina,Napoli,https://img.a.transfermarkt.technology/portrait/header/73396-1685034670.PNG?lm=1,"Aug 31, 1988",Colombia,"1,83 m",Goalkeeper,48844,2478,7713
Davide Marfella,Napoli,https://img.a.transfermarkt.technology/portrait/header/417414-1633953018.jpg?lm=1,"Sep 15, 1999",Italy,"1,82 m",Goalkeeper,460758,63462,21915
Juan Musso,Atalanta,https://img.a.transfermarkt.technology/portrait/header/242359-1663583047.jpg?lm=1,"May 6, 1994",Argentina,"1,91 m",Goalkeeper,121537,14085,16872
Marco Sportiello,Atalanta,https://img.a.transfermarkt.technology/portrait/header/199976-1661351013.jpg?lm=1,"May 10, 1992",Italy,"1,92 m",Goalkeeper,55083,6811,6450
Francesco Rossi,Atalanta,https://img.a.transfermarkt.technology/portrait/header/126634-1644234341.jpg?lm=1,"Apr 27, 1991",Italy,"1,93 m",Goalkeeper,73709,14076,12010
Rui Patrício,Roma,https://img.a.transfermarkt.technology/portrait/header/45026-1661350448.jpg?lm=1,"Feb 15, 1988",Portugal,"1,90 m",Goalkeeper,38533,9380,7543
Bartlomiej Dragowski,Fiorentina,https://img.a.transfermarkt.technology/portrait/header/208166-1663686932.jpg?lm=1,"Aug 19, 1997",Poland,"1,91 m",Goalkeeper,162842,13025,11543
Pietro Terracciano,Fiorentina,https://img.a.transfermarkt.technology/portrait/header/96254-1595853091.jpg?lm=1,"Mar 8, 1990",Italy,"1,93 m",Goalkeeper,79583,8706,9194
Thomas Strakosha,Lazio,https://img.a.transfermarkt.technology/portrait/header/222209-1594713885.jpg?lm=1,"Mar 19, 1995",Albania,"1,93 m",Goalkeeper,140200,13293,6142
Pepe Reina,Lazio,https://img.a.transfermarkt.technology/portrait/header/7825-1448528367.jpg?lm=1,"Aug 31, 1982",Spain,"1,88 m",Goalkeeper,8432,8608,8633
Andrea Consigli,Sassuolo,https://img.a.transfermarkt.technology/portrait/header/35865-1595849608.jpg?lm=1,"Jan 27, 1987",Italy,"1,89 m",Goalkeeper,18500,764,6275
Gianluca Pegolo,Sassuolo,https://img.a.transfermarkt.technology/portrait/header/21872-1449059014.jpg?lm=1,"Mar 25, 1981",Italy,"1,83 m",Goalkeeper,7485,3900,6249
Vanja Milinković-Savić,Torino,https://img.a.transfermarkt.technology/portrait/header/257474-1630509279.jpg?lm=1,"Feb 20, 1997",Serbia,"2,02 m",Goalkeeper,193773,10639,12261
Etrit Berisha,Torino,https://img.a.transfermarkt.technology/portrait/header/77825-1595850441.jpg?lm=1,"Mar 10, 1989",Albania,"1,94 m",Goalkeeper,61824,3191,6137
Luca Gemello,Torino,https://img.a.transfermarkt.technology/portrait/header/463792-1625067521.jpg?lm=1,"Jul 3, 2000",Italy,"1,90 m",Goalkeeper,473242,26586,16095
Lukasz Skorupski,Bologna,https://img.a.transfermarkt.technology/portrait/header/80894-1595848892.jpg?lm=1,"May 5, 1991",Poland,"1,87 m",Goalkeeper,85288,6494,6966
Francesco Bardi,Bologna,https://img.a.transfermarkt.technology/portrait/header/110925-1630574228.jpg?lm=1,"Jan 18, 1992",Italy,"1,88 m",Goalkeeper,74011,3535,5998
Nicola Bagnolini,Bologna,https://img.a.transfermarkt.technology/portrait/header/818892-1673251900.jpg?lm=1,"Mar 14, 2004",Italy,"1,93 m",Goalkeeper,554232,69248,33534
Lorenzo Montipò,Verona,https://img.a.transfermarkt.technology/portrait/header/241923-1598871890.jpg?lm=1,"Feb 20, 1996",Italy,"1,91 m",Goalkeeper,156245,19966,11608
Ivor Pandur,Verona,https://img.a.transfermarkt.technology/portrait/header/371013-1609840536.jpg?lm=1,"Mar 25, 2000",Croatia,"1,87 m",Goalkeeper,459089,32446,23950
Alessandro Berardi,Verona,https://img.a.transfermarkt.technology/portrait/header/127217-1630660791.jpg?lm=1,"Jan 16, 1991",Italy,"1,85 m",Goalkeeper,94239,23206,12199
Marco Silvestri,Udinese,https://img.a.transfermarkt.technology/portrait/header/85528-1663664993.jpg?lm=1,"Mar 2, 1991",Italy,"1,91 m",Goalkeeper,56486,6809,14079
Daniele Padelli,Udinese,https://img.a.transfermarkt.technology/portrait/header/27807-1630653305.jpg?lm=1,"Oct 25, 1985",Italy,"1,91 m",Goalkeeper,18377,2270,6305
Alessio Cragno,Cagliari,https://img.a.transfermarkt.technology/portrait/header/12907-1663659430.jpg?lm=1,"Jun 28, 1994",Italy,"1,84 m",Goalkeeper,105133,477,6425
Boris Radunović,Cagliari,https://img.a.transfermarkt.technology/portrait/header/258482-1634222812.jpg?lm=1,"May 26, 1996",Serbia,"1,94 m",Goalkeeper,213535,1392,8629
Emil Audero,Sampdoria,https://img.a.transfermarkt.technology/portrait/header/256339-1663679682.jpg?lm=1,"Jan 18, 1997",Italy,"1,92 m",Goalkeeper,193509,14136,10248
Wladimiro Falcone,Sampdoria,https://img.a.transfermarkt.technology/portrait/header/238537-1613734372.jpg?lm=1,"Apr 12, 1995",Italy,"1,95 m",Goalkeeper,126486,14137,12544
Nicola Ravaglia,Sampdoria,https://img.a.transfermarkt.technology/portrait/header/42796-1663679997.jpg?lm=1,"Dec 12, 1988",Italy,"1,84 m",Goalkeeper,38597,7983,8795
Guglielmo Vicario,Empoli,https://img.a.transfermarkt.technology/portrait/header/286047-1630576218.jpg?lm=1,"Oct 7, 1996",Italy,"1,94 m",Goalkeeper,184254,19584,12119
Adrian Semper,Genoa,https://img.a.transfermarkt.technology/portrait/header/317057-1630583112.jpg?lm=1,"Jan 12, 1998",Croatia,"1,94 m",Goalkeeper,218362,14109,13038
Salvatore Sirigu,Genoa,https://img.a.transfermarkt.technology/portrait/header/25508-1661351326.jpg?lm=1,"Jan 12, 1987",Italy,"1,92 m",Goalkeeper,21155,9473,7295
Sergio Romero,Venezia,https://img.a.transfermarkt.technology/portrait/header/30690-1596803710.jpg?lm=1,"Feb 22, 1987",Argentina,"1,92 m",Goalkeeper,42899,9770,10415
Luca Lezzerini,Venezia,https://img.a.transfermarkt.technology/portrait/header/135747-1630656710.jpg?lm=1,"Mar 24, 1995",Italy,"1,95 m",Goalkeeper,105128,6329,6026
Niki Mäenpää,Venezia,https://img.a.transfermarkt.technology/portrait/header/12359-1630656734.jpg?lm=1,"Jan 23, 1985",Finland,"1,87 m",Goalkeeper,48860,8058,10939
Ivan Provedel,Spezia,https://img.a.transfermarkt.technology/portrait/header/197929-1647942320.jpg?lm=1,"Mar 17, 1994",Italy,"1,94 m",Goalkeeper,151923,14121,6770
Jeroen Zoet,Spezia,https://img.a.transfermarkt.technology/portrait/header/79045-1602505437.jpg?lm=1,"Jan 6, 1991",Netherlands,"1,89 m",Goalkeeper,59108,4961,10396
Petar Zovko,Spezia,https://img.a.transfermarkt.technology/portrait/header/602299-1634195741.jpg?lm=1,"Mar 25, 2002",Bosnia-Herzegovina,"1,92 m",Goalkeeper,547065,67396,26714
Luigi Sepe,Salernitana,https://img.a.transfermarkt.technology/portrait/header/99254-1663667680.jpg?lm=1,"May 8, 1991",Italy,"1,85 m",Goalkeeper,59326,6410,6398
Vid Belec,Salernitana,https://img.a.transfermarkt.technology/portrait/header/73090-1449136513.jpg?lm=1,"Jun 6, 1990",Slovenia,"1,92 m",Goalkeeper,60066,10695,9000
Vincenzo Fiorillo,Salernitana,https://img.a.transfermarkt.technology/portrait/header/55000-1630589864.jpg?lm=1,"Jan 13, 1990",Italy,"1,90 m",Goalkeeper,40670,10727,5799
